Blog	four	looking	second	here	music	until	want	how	series	re	service	saying	much	life	things	had	has	right	old	people	support	full	time	team	love	working	such	so	years	didn	internet	million	one	open	say	take	ways	going	where	many	photos	being	around	world	her	am	an	as	tv	th	small	past	hours	experience	more	company	its	always	found	really	also	set	see	available	last	community	person	d	be	by	into	up	us	ago	having	try	video	let	great	makes	next	could	system	best	should	email	ve	site	off	web	become	told	work	after	order	them	they	another	what	do	away	we	com	night	security	post	months	way	was	change	live	can	december	still	not	now	year	space	shows	than	online	america	only	between	these	media	real	read	using	t	business	your	start	lot	trying	since	month	very	help	actually	put	store	mobile	latest	pretty	during	won	probably	both	look	while	used	game	some	doesn	youtube	go	facebook	started	including	special	times	data	need	able	she	well	page	twitter	home	he	star	friends	companies	even	new	ever	never	tell	give	president	before	better	side	content	isn	seen	don	m	stop	said	against	appeared	three	if	make	left	just	deal	super	down	finally	did	making	sunday	may	man	talk	morning	thing	think	first	long	little	were	especially	show	black	get	enough	reading	according	those	then	different	same	money	again	important	u	public	two	good	everyone	house	hard	idea	least	part	most	find	point	create	big	bit	google	often	back	access	account	ll	day	have	national	like	about	buy	but	under	every	york	would	phone	me	my	keep	end	over	writing	each	got	free	days	already	top	too	took	final	report	news	been	donald	christmas	head	no	when	today	name	place	any	ideas	state	major	through	come	someone	week	without	blog	or	there	all	program	list	design	v	might	feel	story	kind	i	his	him	are	recently	questions	called	users	once	apple	app	trump	use	few	something	our	out	their	which	who	why	words	view	will	book	smart	know	because	getting	own	made	whether	other
mezzoblue	0	0	0	1	0	0	0	2	0	1	0	0	1	0	0	0	1	1	1	0	3	0	0	0	0	1	0	1	3	1	1	0	2	0	0	1	0	0	1	0	0	1	0	0	0	0	1	4	0	1	0	3	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	6	2	0	3	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	2	1	0	0	1	0	1	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	4	0	0	0	0	0	2	3	0	0	4	0	0	1	2	0	0	0	1	0	0	0	1	3	0	0	0	1	2	2	0	0	1	0	1	0	0	2	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	12	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0
Eschaton	0	0	0	1	0	3	0	3	0	1	1	0	0	1	3	2	5	2	0	3	0	0	2	0	0	1	0	5	1	4	0	0	7	0	2	0	0	2	3	0	0	2	0	4	1	3	3	4	0	0	1	1	1	0	3	1	1	0	0	6	0	0	1	0	0	0	0	1	7	3	1	2	0	0	1	2	0	2	0	1	2	4	1	1	2	0	0	0	1	0	0	0	0	1	1	1	15	1	2	1	1	4	1	0	0	0	1	1	11	0	0	5	2	2	10	3	2	0	1	2	0	0	0	0	1	1	0	2	0	19	1	4	0	0	0	3	0	1	0	3	0	0	0	0	2	0	2	1	1	1	1	1	0	3	2	0	1	0	0	0	0	1	1	1	0	0	0	0	1	0	5	1	2	0	3	2	1	2	0	0	1	1	3	0	0	1	0	5	6	3	2	0	0	0	3	0	0	9	4	0	1	1	0	0	3	0	0	0	0	3	2	4	0	0	4	0	1	2	1	2	0	2	1	2	0	0	1	0	0	0	0	0	8	0	0	0	5	1	0	0	0	1	0	3	4	0	1	1	3	0	1	1	12	0	4	8	0	21	0	3	0	0	0	1	6	0	0	1	0	0	1	0	0	1	2	2	0	0	0	0	3	0	1	0	5	4	2	0	0	2	0	1	1	0	0	0	1	0	0	7	5	8	2	0	0	0	3	0	0	1	33	3	5	8	0	0	1	0	2	0	0	4	0	1	1	0	2	4	1	2	0	0	0	2	0	0	0	1	4	0	1	0	0
ShoeMoney	0	1	0	15	0	0	4	11	0	5	0	0	2	3	0	0	1	3	0	0	0	1	6	0	1	1	0	6	2	0	2	2	4	0	0	1	3	5	0	0	0	1	1	1	0	1	5	3	1	0	1	1	0	2	4	0	2	0	0	0	1	0	1	1	0	0	0	0	7	2	1	3	1	0	0	1	0	2	1	2	1	3	0	2	1	0	1	0	0	4	0	0	1	2	0	1	2	1	9	4	0	3	0	0	1	1	2	0	1	0	1	8	0	1	5	3	2	0	2	2	1	0	1	0	3	3	2	1	1	8	5	29	1	2	0	0	1	3	1	1	0	0	0	3	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	3	4	0	0	0	0	0	0	2	0	0	0	2	1	0	0	2	0	0	1	1	3	2	4	0	1	3	0	0	0	0	0	4	5	0	2	0	0	0	0	1	4	0	1	1	0	0	2	4	1	0	1	0	0	1	0	4	0	2	0	1	3	2	0	8	0	1	0	0	1	1	2	0	1	0	0	0	2	2	0	1	5	0	8	0	1	0	0	1	0	4	0	2	7	0	8	0	0	0	4	0	0	0	3	0	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	4	1	0	0	2	0	0	0	0	0	0	0	1	4	1	0	2	0	0	5	0	0	0	3	0	4	1	0	12	0	0	0	0	0	0	0	0	0	1	0	0	6	1	0	1	14	0	0	2	0	0	1	1	2	1	0	0	2
Slashdot	0	0	2	1	8	0	0	6	1	2	8	1	0	0	0	6	9	1	0	9	1	0	2	5	0	0	0	4	0	1	5	0	2	1	0	1	1	0	0	2	0	2	3	1	0	0	12	11	0	2	2	0	0	1	21	13	13	0	1	1	12	0	3	1	6	2	0	3	18	11	7	8	1	1	0	0	0	2	1	1	5	3	1	1	1	1	0	0	0	0	0	2	5	4	4	8	15	0	2	6	0	8	0	1	6	6	0	3	13	1	0	13	2	1	6	2	7	0	0	3	2	0	1	3	3	4	0	15	3	12	3	2	0	0	0	1	2	1	3	1	2	0	2	1	0	6	1	0	0	1	4	3	0	5	2	0	0	9	0	2	0	4	7	2	0	1	2	1	4	3	2	0	0	3	2	15	1	1	0	0	2	1	0	0	3	2	0	4	0	4	16	0	0	0	3	0	0	1	0	0	2	0	1	4	3	2	0	0	2	0	0	6	3	0	6	0	0	0	1	0	0	7	3	2	0	1	0	0	1	6	2	3	0	0	0	0	1	0	1	0	3	0	0	2	0	8	1	2	2	0	0	0	6	2	10	5	0	10	2	1	2	5	0	0	0	0	1	4	0	0	0	2	2	0	0	0	1	0	13	1	1	2	0	1	3	5	1	1	1	2	0	0	3	2	0	1	3	4	1	17	5	3	0	0	0	0	3	0	17	1	1	1	0	12	0	0	4	9	0	1	3	4	10	3	0	2	8	19	10	7	1	7	2	12	1	1	0	3	1	1	0	1	8
Matt Cutts: Gadgets, Google, and SEO	0	0	0	1	0	0	0	0	0	3	6	0	1	0	0	0	3	0	0	4	1	2	1	1	0	1	1	1	2	0	0	0	2	1	0	1	0	0	0	1	0	0	1	2	0	0	2	2	0	1	0	0	0	0	2	0	0	1	0	1	2	0	1	0	3	0	0	1	0	0	0	0	4	1	0	1	0	0	1	0	2	1	0	0	1	0	4	0	1	3	0	0	1	1	0	2	2	1	1	1	1	2	0	0	0	0	1	1	5	0	0	2	0	1	1	2	3	0	0	0	0	0	0	0	1	1	0	1	0	3	0	5	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	2	1	0	0	1	0	1	0	2	0	0	0	0	0	0	1	1	2	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	2	0	0	1	0	0	0	0	0	0	7	0	0	0	0	0	3	2	0	3	6	0	3	0	1	0	1	0	1	6	1	1	2	0	1	0	0	0	0	0	1	2	0	1	1	2	0	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	3	3	0	0	0	0	0	1	1	0	0	0	21	0	0	3	2	0	1	0	0	0	0	0	0	1	0	0	1	2	0	1	0	0	0	0	0	1	1	1	0	0	0	1	0
Gothamist	0	1	1	4	0	2	0	4	2	2	0	0	2	2	3	5	8	2	12	12	1	0	5	0	2	0	0	5	3	0	2	4	8	1	2	1	0	0	1	2	5	3	1	1	4	0	8	15	0	2	0	0	2	0	47	1	3	2	0	1	6	0	2	0	11	0	1	0	3	5	3	10	4	1	0	0	1	1	3	1	1	1	3	5	1	0	1	0	2	0	0	0	1	9	0	2	3	0	2	5	0	9	0	7	0	1	0	0	21	1	1	6	0	3	1	5	17	1	0	7	0	2	2	1	1	1	0	0	1	5	0	5	2	0	0	2	6	2	0	1	0	3	0	1	0	2	3	0	0	0	1	4	0	7	0	3	0	3	0	1	2	1	0	2	0	2	1	0	3	2	11	0	1	0	0	22	4	1	0	0	3	1	0	13	0	0	2	1	0	0	1	3	0	2	2	3	1	7	0	0	8	0	0	1	1	0	4	1	3	0	0	3	1	1	7	0	2	0	7	1	0	3	1	1	0	0	2	4	0	2	1	4	2	0	2	1	0	2	2	5	0	2	0	0	0	0	0	2	1	1	0	3	4	0	4	5	0	6	2	1	3	1	0	1	2	1	2	8	0	0	1	0	5	1	3	2	1	2	1	0	1	2	0	0	1	7	3	0	1	1	1	3	2	1	1	0	3	0	0	3	3	4	0	0	1	0	0	0	2	1	5	11	2	8	0	1	2	0	1	4	1	11	2	1	0	4	5	5	4	12	0	1	0	2	0	0	0	5	0	2	2	1	2
BuzzMachine	0	2	0	4	0	1	4	2	0	0	0	0	0	0	0	3	0	3	0	1	0	0	0	0	0	1	2	4	4	2	0	1	1	0	2	0	2	0	0	2	0	0	0	0	2	2	5	6	1	0	1	0	0	1	1	0	2	1	0	1	0	0	1	0	0	2	0	0	3	5	1	2	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	2	5	1	7	4	0	9	0	0	0	16	0	0	2	4	0	4	0	2	2	4	0	0	0	0	1	0	1	0	2	3	3	0	0	6	1	0	1	0	0	1	0	0	3	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	11	0	0	0	0	0	0	0	3	1	0	1	0	5	0	0	1	0	4	0	0	0	0	1	1	3	2	1	3	0	0	1	2	4	4	15	0	0	2	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	17	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	2	1	2	0	0	6	0	2	2	0	0	1	0	3	7	1	1	3	0	0	1	0	0	0	0	1	0	0	0	18	1	3	3	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	2	2	0	0	0	0	1	0	0	0	19	1	1	5	0	0	1	1	0	1	0	9	0	1	0	8	0	0	0	0	0	0	0	4	0	0	1	1	0	0	0	0	0
Techdirt.	2	2	10	19	3	8	8	28	1	18	14	8	26	2	16	35	56	8	8	50	21	3	15	3	1	2	19	33	15	11	19	13	49	5	7	14	7	12	19	15	0	32	14	9	2	1	73	93	8	5	6	4	3	0	47	39	61	4	9	19	31	3	16	7	13	4	8	7	105	94	27	34	12	10	4	5	34	8	5	10	4	22	3	5	24	40	15	2	23	4	6	3	7	30	16	39	73	12	37	25	7	64	3	2	5	6	5	13	110	4	3	53	6	10	73	16	13	2	2	22	13	1	35	6	33	5	14	5	18	129	9	15	7	8	11	13	5	10	5	15	10	6	17	2	12	16	10	5	13	14	24	26	39	37	24	9	4	7	6	11	0	12	4	8	5	6	13	0	4	2	56	1	2	9	26	35	3	12	1	7	2	9	7	11	20	15	4	11	5	18	22	27	3	8	46	22	6	38	5	1	23	6	18	12	0	15	0	1	1	8	17	39	6	12	54	4	8	5	23	8	0	10	19	14	3	8	6	10	4	3	34	19	17	12	2	5	11	13	6	21	7	11	5	6	3	7	7	18	10	2	4	3	71	2	48	69	4	107	6	11	8	57	7	7	8	4	11	36	4	4	11	6	3	11	7	8	7	0	9	19	32	2	2	9	41	30	7	14	9	26	2	15	7	11	7	12	14	15	1	65	52	71	5	9	0	4	23	5	31	3	45	56	23	72	5	1	7	3	12	6	1	4	34	11	20	13	57	71	42	45	15	3	4	28	0	0	16	35	10	20	24	7	32
PerezHilton	1	0	0	2	0	0	0	2	0	1	0	3	0	0	1	1	7	0	2	0	0	0	1	0	0	0	0	1	3	1	0	2	1	2	1	0	0	1	1	1	1	2	0	1	10	0	2	5	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	1	0	0	0	1	4	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	4	1	2	0	1	0	0	5	0	1	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	1	0	1	5	3	0	0	0	1	1	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	3	6	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	2	0	0	0	1	0	1	0	1	0	3	3	0	1	0	0	0	0	2	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	0	0	1	0	2	0	1	5	0	1	1	0	0	2	1	0	0	1	0	4	0	0	2	0	1	2	0	1	0	0	0	0	4	0	2	1	3	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	2	2	0	0	0	0	0	0	1	0	0	9	0	2	2	0	1	0	0	0	0	1	0	0	1	1	6	1	0	4	1	1	0	0	0	0	0	0	0	0	1	0	0
ongoing by Tim Bray	1	1	0	8	0	0	2	4	0	12	0	0	1	0	0	2	3	1	1	2	0	3	2	0	3	1	0	14	2	0	0	0	8	1	1	0	0	0	1	0	1	0	3	3	0	0	10	6	0	0	0	0	0	0	1	0	1	0	2	0	0	1	2	0	2	0	0	0	17	8	0	4	5	0	0	2	0	1	2	0	0	0	0	0	3	0	5	0	0	1	0	0	6	1	0	2	2	0	4	4	2	5	6	1	0	0	0	2	1	0	2	6	0	2	4	0	0	0	0	0	0	0	0	0	1	0	0	2	0	12	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	2	3	1	0	4	0	0	0	0	1	0	1	2	0	1	0	0	0	0	0	0	1	1	1	0	0	2	0	0	0	1	2	0	1	0	3	5	1	1	0	0	1	5	3	1	3	1	1	0	0	0	0	0	0	3	0	0	2	5	3	1	0	1	0	1	0	3	0	0	0	1	2	0	0	0	1	0	2	0	2	3	0	0	1	0	1	0	6	0	0	0	2	0	1	0	1	0	0	1	3	3	0	6	2	0	5	0	0	0	1	0	3	7	2	0	2	0	0	4	0	0	0	1	1	2	0	0	0	4	0	0	0	3	2	0	0	1	5	0	0	0	0	5	0	0	0	0	4	8	2	0	0	0	0	3	0	0	4	44	1	1	9	0	0	0	0	0	0	1	0	3	3	0	2	4	1	8	4	2	3	1	2	3	0	0	0	0	1	0	0	0
Wired	0	0	0	5	0	0	1	2	0	0	0	0	1	3	0	0	3	0	2	0	0	1	2	0	1	0	0	0	1	1	1	0	4	0	0	0	0	0	3	0	2	1	0	1	0	0	3	3	0	0	0	0	0	0	4	1	1	0	0	0	0	0	1	0	4	0	0	0	1	0	2	2	0	0	0	0	2	0	0	1	0	4	0	3	1	0	1	0	2	0	0	0	0	1	0	3	2	0	2	2	0	5	0	0	2	0	0	0	0	1	2	2	0	2	0	5	3	1	0	3	0	0	0	2	2	0	2	0	0	7	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	3	0	0	1	2	0	0	0	0	1	1	0	0	1	0	1	3	0	3	0	1	1	6	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	1	0	1	0	0	0	1	1	2	0	0	0	1	0	0	0	2	1	2	1	0	1	2	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	4	0	6	0	3	0	1	1	0	2	0	0	4	1	2	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	2	1	0	0	0	4	0	1	0	0	1	1	0	1	2	1	2	1	0	0	0	0	4	0	0	0	1	0	0	0	1	2	0	0	0	0	0	1	0	4	0	1	1	0	0	0	0	1	0	1	0	3	1	4	0	1	1	0	0	0	0	3	0	0	0	3	0	0	2
SpikedHumor - Today's Videos and Pictures	0	0	6	102	2	1	1	5	0	2	0	1	0	2	1	5	8	0	2	3	1	2	4	1	1	0	1	2	2	0	0	1	6	0	1	1	0	0	0	2	2	1	4	1	0	2	11	1	2	1	0	0	0	0	4	0	7	0	2	1	3	4	4	0	4	0	1	1	1	108	2	13	2	2	1	0	15	2	1	1	0	1	1	6	1	0	2	1	3	0	0	0	2	3	1	3	0	3	5	2	1	9	6	1	2	3	0	2	4	1	2	5	3	2	8	0	0	3	0	1	0	4	0	2	1	0	4	0	4	6	0	6	0	0	0	1	0	0	0	1	3	1	0	0	0	0	0	2	0	5	3	0	1	9	1	5	2	0	1	0	3	1	0	1	1	3	0	1	0	0	7	0	0	0	5	7	3	1	1	0	0	2	0	2	0	0	0	3	1	0	3	0	0	0	1	2	2	12	3	1	3	0	2	3	0	1	4	2	1	0	2	2	2	1	0	0	5	2	4	0	0	1	2	2	0	0	1	1	0	3	1	0	2	2	2	0	0	0	7	2	0	0	0	1	1	1	0	2	0	0	0	1	6	0	5	9	0	8	1	3	0	2	2	5	8	2	3	0	0	0	1	1	5	0	2	2	0	0	1	2	3	0	13	2	1	4	0	0	0	2	2	0	2	0	0	1	0	0	0	3	1	14	0	1	0	1	2	3	0	0	19	9	1	6	0	1	1	0	2	5	3	0	0	1	2	1	1	3	0	3	4	1	1	5	0	0	4	3	0	0	0	0	2
The Official Google Blog	3	5	1	5	2	4	6	45	3	42	8	0	4	8	6	10	19	14	2	16	18	4	29	13	6	19	7	41	15	1	1	9	22	9	2	13	13	4	16	21	3	7	16	32	9	3	38	52	1	2	12	8	3	12	62	6	13	0	6	0	27	6	16	4	8	8	8	17	33	30	17	17	13	2	5	3	8	3	5	5	9	4	8	13	5	4	28	1	10	2	3	2	25	4	3	6	45	3	24	15	2	168	4	2	2	10	5	14	11	1	4	65	1	3	9	13	40	13	2	25	15	6	7	8	14	7	4	5	19	20	21	57	6	4	0	13	1	5	48	0	3	8	31	4	0	9	2	0	4	10	3	7	5	21	2	5	3	0	5	7	2	7	42	14	3	6	4	0	0	3	8	6	2	5	10	53	4	3	5	4	0	4	14	1	24	1	5	5	6	6	1	0	0	12	22	25	4	12	2	0	5	2	5	10	0	6	0	3	3	2	4	28	5	2	14	3	5	9	27	1	7	3	4	4	10	3	0	2	10	19	5	17	3	2	0	2	1	2	9	12	7	2	9	7	1	78	2	9	7	2	7	4	33	7	36	31	2	20	3	9	4	9	8	2	6	2	4	13	2	14	0	3	6	7	19	5	2	2	3	72	9	0	0	6	8	28	21	0	4	4	6	4	5	16	6	3	7	7	0	51	20	18	6	4	8	1	3	2	3	1	26	11	2	62	1	4	4	22	5	0	5	0	25	5	3	88	25	47	24	13	3	1	5	23	6	2	7	4	4	14	4	5	21
Neil Gaiman's Journal	7	1	5	37	0	6	16	20	7	12	0	2	23	8	49	42	20	10	11	44	4	1	34	2	21	4	10	61	22	11	5	3	42	1	2	11	2	27	23	15	2	8	7	16	12	20	39	52	8	18	6	2	9	2	33	1	5	5	6	23	11	10	19	6	21	1	7	23	104	71	14	36	22	28	5	2	7	8	2	5	11	21	0	7	12	3	31	0	10	0	2	5	22	12	2	43	48	10	36	40	11	53	28	11	0	6	7	8	110	5	4	44	2	11	61	28	43	0	2	12	3	3	22	7	14	4	2	27	3	53	0	25	1	13	6	5	5	17	10	7	17	0	0	1	3	4	5	7	5	8	10	3	0	35	3	2	23	3	10	4	2	8	0	13	1	11	9	7	3	4	50	1	9	0	30	40	9	12	9	7	0	18	6	4	1	8	3	12	61	2	15	1	1	8	62	24	6	22	1	0	4	3	20	7	2	9	11	5	4	20	7	21	11	9	22	4	6	1	33	2	15	1	5	30	8	9	18	5	1	0	7	23	24	9	2	8	6	2	6	9	14	1	1	6	17	2	2	23	0	0	20	13	66	0	42	46	3	47	1	3	11	38	1	64	81	6	2	21	24	8	23	4	23	2	0	19	9	1	1	2	27	0	1	5	11	24	3	4	6	12	4	0	1	9	5	10	7	5	13	62	58	49	4	1	4	0	4	7	8	10	434	31	18	65	0	10	6	0	4	1	1	0	0	13	22	8	54	19	31	48	4	9	1	58	64	2	11	34	8	8	14	1	17
Signal v. Noise - Medium	2	6	0	15	0	2	14	46	0	40	0	1	8	5	31	22	12	10	4	46	1	1	34	12	3	6	1	37	5	12	1	0	27	4	10	2	6	12	21	10	0	7	6	12	18	0	21	50	0	1	10	2	1	2	48	17	5	6	2	14	10	3	15	4	8	2	4	26	54	25	17	29	13	4	4	11	2	9	4	7	4	13	3	7	23	3	22	0	4	2	3	3	22	6	2	22	55	13	39	39	3	102	5	2	0	3	3	11	62	6	3	40	2	11	31	23	7	3	3	5	2	0	6	2	19	0	3	3	0	86	12	40	9	6	8	4	1	6	5	4	1	2	1	1	2	2	4	4	3	13	8	6	0	18	8	8	10	0	4	1	1	9	0	14	3	15	15	2	1	5	27	0	1	5	12	32	7	1	7	2	0	10	9	2	0	6	3	17	3	1	2	1	0	6	51	24	2	41	2	1	4	3	1	10	0	6	1	2	2	8	12	7	6	7	17	2	10	0	29	6	1	0	13	8	8	8	4	4	11	0	3	5	9	16	1	6	5	2	6	20	9	1	2	9	2	1	8	16	2	3	20	11	45	0	20	41	0	61	1	6	0	11	1	20	38	8	12	14	0	4	7	2	6	8	7	10	5	0	3	0	16	0	0	1	13	33	5	4	2	7	5	0	1	13	3	15	5	4	0	51	35	37	1	0	8	10	19	7	15	1	96	11	2	47	1	5	3	3	3	1	11	0	5	9	17	34	27	24	4	24	13	2	1	8	1	1	8	23	8	5	5	4	13
456 Berea Street	0	0	0	2	0	0	1	4	0	0	0	0	0	0	1	1	3	0	0	3	1	12	0	0	0	1	0	6	1	1	0	0	3	0	0	1	2	1	1	4	0	2	0	0	0	0	4	5	0	0	2	0	0	0	2	0	7	1	1	3	1	3	4	0	0	0	0	3	6	3	1	2	0	2	1	0	0	0	1	0	0	1	0	1	0	0	3	2	0	4	0	0	1	3	1	2	1	0	2	5	0	2	0	0	0	4	0	1	6	1	0	6	0	0	4	1	0	0	0	6	0	0	1	0	1	0	0	10	3	11	0	1	0	1	1	2	0	1	2	1	0	0	0	0	0	0	1	0	1	6	2	2	0	5	1	0	1	0	0	0	0	0	5	3	0	0	4	0	0	0	0	0	0	0	3	0	2	1	0	1	0	2	0	0	1	3	1	4	0	1	0	0	0	1	4	5	0	1	0	0	4	1	0	2	0	5	0	0	0	0	3	0	1	1	3	0	0	0	2	1	0	1	1	1	5	1	0	1	1	0	0	1	1	0	0	0	0	3	1	3	1	0	0	0	2	0	2	0	0	0	0	0	8	0	3	2	0	9	0	2	0	0	0	2	3	1	0	4	1	2	0	0	0	1	2	2	0	0	2	1	3	0	0	0	2	7	0	0	0	3	0	0	0	1	1	0	0	1	0	9	6	3	0	1	2	0	0	0	0	0	30	0	0	6	0	0	0	0	0	0	0	0	9	0	0	0	1	3	4	1	2	0	0	5	0	0	0	1	1	1	0	0	0
Joel on Software	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	1	0	0	3	0	0	2	2	0	1	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	13	2	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	1	0	0	2	2	0	5	0	0	0	0	0	0	3	0	0	0	0	0	1	1	1	0	0	2	0	0	0	0	1	0	0	10	0	0	0	1	1	1	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	2	0	0	0	0	3	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	3	0	0	0	0	0	0	0	1	1	0	0	0	3	0	0	2	1	0	0	0	1	0	0	0	4	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	6	0	0	4	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0
Boing Boing	2	1	3	3	2	0	5	6	4	9	0	2	4	2	4	16	16	1	6	8	1	0	14	1	2	1	0	8	5	5	1	7	15	3	2	1	2	6	4	6	0	8	4	8	0	3	17	14	2	0	3	0	2	4	18	2	3	0	6	2	3	0	2	2	0	1	2	7	14	25	5	2	6	2	3	1	7	0	2	3	1	1	6	3	3	1	3	0	3	0	0	3	9	5	4	7	20	1	10	10	0	15	2	1	2	1	0	6	20	4	2	17	0	3	24	6	7	4	1	3	2	4	6	3	14	3	0	2	1	23	2	6	0	3	2	4	0	5	2	0	4	3	1	2	1	1	0	0	1	3	3	3	5	6	0	3	4	1	0	2	0	4	0	1	6	1	2	3	0	2	24	3	1	2	5	14	2	2	0	3	0	3	2	0	1	2	2	7	1	1	10	3	1	1	12	11	4	12	1	1	2	1	2	1	0	3	0	1	0	4	3	4	1	3	11	3	0	1	12	1	1	2	3	3	4	0	8	0	0	3	1	2	2	0	0	0	1	0	1	5	3	3	3	3	0	1	1	6	1	0	3	0	22	2	14	12	0	16	2	0	2	5	0	9	14	1	0	4	0	4	1	5	1	1	0	2	1	0	1	0	11	3	1	5	6	14	1	2	1	5	0	2	0	2	0	2	1	4	0	14	9	9	2	0	0	4	1	0	2	5	55	12	1	21	1	1	1	1	2	0	0	5	6	1	3	6	15	19	4	14	3	2	0	7	1	0	5	9	0	2	1	3	9
The Full Feed from HuffingtonPost.com	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	4	1	0	0	0	0	0	1	0	0	0	0	2	1	2	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	1	5	0	2	0	1	0	0	24	0	2	0	0	0	1	0	1	0	0	0	0	5	0	1	1	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	1	0	1	0	2	0	0	2	0	0	2	0	4	1	0	1	0	2	0	2	0	0	6	0	0	3	0	0	2	1	1	0	0	2	0	0	0	0	0	0	0	10	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	6	2	1	0	0	0	0	2	0	1	0	0	0	0	2	1	0	1	3	0	1	3	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	6	0	0	7	2	0	1	1	0	0	0	1	0	0	1	0	1	0	2	0	0	2	0	3	0	0	0	0	3	0	0	0	0	0	0	0	3	0	1	0	0	6	0	3	2	0	4	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	5	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	1	0	0	1	0	0	0	4	0	1
